tx_id,customer_id,timestamp,datetime_utc,amount,channel,counterparty_country,device_id,ip_country,balance_before,balance_drawdown_ratio,is_new_device,tx_velocity_24h,nationality,visa_type,residency_end_date,language,home_country,segment_key,days_to_residency_end,hour,label,scenario
VN-E-9-X0000-T0000,VN-E-9-X0000,1768492080.0,2026-01-15T15:48:00+00:00,1463498.0,remittance,HK,dev-VN-E-9-X0000-NEW,HK,1624304.11,0.901,1,6,VN,E-9,2026-06-11,vi,VN,VN:E-9,6,0,1,A_takeover
VN-E-9-X0001-T0000,VN-E-9-X0001,1774455840.0,2026-03-25T16:24:00+00:00,2574010.0,remittance,TH,dev-VN-E-9-X0001-NEW,TH,2663277.36,0.9665,1,7,VN,E-9,2026-06-06,vi,VN,VN:E-9,1,1,1,A_takeover
VN-E-9-X0002-T0000,VN-E-9-X0002,1776876660.0,2026-04-22T16:51:00+00:00,3397516.0,remittance,AE,dev-VN-E-9-X0002-NEW,AE,3463169.71,0.981,1,7,VN,E-9,2026-06-11,vi,VN,VN:E-9,6,1,1,A_takeover
VN-E-9-X0003-T0000,VN-E-9-X0003,1774471560.0,2026-03-25T20:46:00+00:00,2176512.0,remittance,AE,dev-VN-E-9-X0003-NEW,AE,2228915.17,0.9765,1,8,VN,E-9,2026-06-07,vi,VN,VN:E-9,2,5,1,A_takeover
VN-E-9-X0004-T0000,VN-E-9-X0004,1765127400.0,2025-12-07T17:10:00+00:00,4324597.0,remittance,AE,dev-VN-E-9-X0004-NEW,AE,4693746.86,0.9214,1,8,VN,E-9,2026-06-07,vi,VN,VN:E-9,2,2,1,A_takeover
VN-E-9-X0005-T0000,VN-E-9-X0005,1774977780.0,2026-03-31T17:23:00+00:00,2192871.0,remittance,TR,dev-VN-E-9-X0005-NEW,TR,2200306.98,0.9966,1,14,VN,E-9,2026-06-07,vi,VN,VN:E-9,2,2,1,A_takeover
VN-E-9-X0006-T0000,VN-E-9-X0006,1774205160.0,2026-03-22T18:46:00+00:00,1985183.0,remittance,HK,dev-VN-E-9-X0006-NEW,HK,2107572.09,0.9419,1,10,VN,E-9,2026-06-13,vi,VN,VN:E-9,8,3,1,A_takeover
VN-E-9-X0007-T0000,VN-E-9-X0007,1767200880.0,2025-12-31T17:08:00+00:00,2758097.0,remittance,AE,dev-VN-E-9-X0007-NEW,AE,2779740.32,0.9922,1,9,VN,E-9,2026-06-09,vi,VN,VN:E-9,4,2,1,A_takeover
VN-E-9-X0008-T0000,VN-E-9-X0008,1768146180.0,2026-01-11T15:43:00+00:00,1820061.0,remittance,TH,dev-VN-E-9-X0008-NEW,TH,1968526.94,0.9246,1,11,VN,E-9,2026-06-05,vi,VN,VN:E-9,0,0,1,A_takeover
VN-E-9-X0009-T0000,VN-E-9-X0009,1777663860.0,2026-05-01T19:31:00+00:00,2876417.0,remittance,HK,dev-VN-E-9-X0009-NEW,HK,2962406.49,0.971,1,11,VN,E-9,2026-06-07,vi,VN,VN:E-9,2,4,1,A_takeover
VN-E-9-X0010-T0000,VN-E-9-X0010,1778693940.0,2026-05-13T17:39:00+00:00,2033535.0,remittance,HK,dev-VN-E-9-X0010-NEW,HK,2233140.37,0.9106,1,12,VN,E-9,2026-06-12,vi,VN,VN:E-9,7,2,1,A_takeover
