tx_id,customer_id,timestamp,datetime_utc,amount,channel,counterparty_country,device_id,ip_country,balance_before,balance_drawdown_ratio,is_new_device,tx_velocity_24h,nationality,visa_type,residency_end_date,language,home_country,segment_key,days_to_residency_end,hour,label,scenario
NP-D-2-N0001-T0000,NP-D-2-N0001,1772278320.0,2026-02-28T11:32:00+00:00,23409.0,domestic,KR,dev-NP-D-2-N0001-A,KR,61073.19,0.3833,0,1,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,20,0,normal
NP-D-2-N0001-T0003,NP-D-2-N0001,1772434560.0,2026-03-02T06:56:00+00:00,9458.0,domestic,KR,dev-NP-D-2-N0001-A,KR,19669.67,0.4808,0,1,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,15,0,normal
NP-D-2-N0001-T0004,NP-D-2-N0001,1772470020.0,2026-03-02T16:47:00+00:00,7853.0,domestic,KR,dev-NP-D-2-N0001-A,KR,36703.46,0.214,0,2,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,1,0,normal
NP-D-2-N0001-T0005,NP-D-2-N0001,1772499840.0,2026-03-03T01:04:00+00:00,14215.0,atm,KR,dev-NP-D-2-N0001-A,KR,38192.42,0.3722,0,4,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,10,0,normal
NP-D-2-N0001-T0006,NP-D-2-N0001,1772470740.0,2026-03-02T16:59:00+00:00,12210.0,domestic,KR,dev-NP-D-2-N0001-A,KR,44292.95,0.2757,0,3,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,1,0,normal
NP-D-2-N0001-T0008,NP-D-2-N0001,1772589660.0,2026-03-04T02:01:00+00:00,4819.0,domestic,KR,dev-NP-D-2-N0001-A,KR,16447.08,0.293,0,1,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,11,0,normal
NP-D-2-N0001-T0010,NP-D-2-N0001,1772590680.0,2026-03-04T02:18:00+00:00,15619.0,domestic,KR,dev-NP-D-2-N0001-A,KR,157957.73,0.0989,0,2,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,11,0,normal
NP-D-2-N0001-T0011,NP-D-2-N0001,1772682540.0,2026-03-05T03:49:00+00:00,11852.0,domestic,KR,dev-NP-D-2-N0001-A,KR,51476.57,0.2302,0,1,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,12,0,normal
NP-D-2-N0001-T0014,NP-D-2-N0001,1772691120.0,2026-03-05T06:12:00+00:00,7764.0,domestic,KR,dev-NP-D-2-N0001-A,KR,45076.43,0.1722,0,1,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,15,0,normal
NP-D-2-N0001-T0015,NP-D-2-N0001,1772697420.0,2026-03-05T07:57:00+00:00,10099.0,atm,KR,dev-NP-D-2-N0001-A,KR,44106.79,0.229,0,3,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,16,0,normal
NP-D-2-N0001-T0016,NP-D-2-N0001,1772737860.0,2026-03-05T19:11:00+00:00,14560.0,domestic,KR,dev-NP-D-2-N0001-A,KR,37189.64,0.3915,0,5,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,4,0,normal
NP-D-2-N0001-T0017,NP-D-2-N0001,1772776800.0,2026-03-06T06:00:00+00:00,24254.0,domestic,KR,dev-NP-D-2-N0001-A,KR,98139.3,0.2471,0,5,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,15,0,normal
NP-D-2-N0001-T0018,NP-D-2-N0001,1772871060.0,2026-03-07T08:11:00+00:00,3792.0,domestic,KR,dev-NP-D-2-N0001-A,KR,23927.69,0.1585,0,1,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,17,0,normal
NP-D-2-N0001-T0019,NP-D-2-N0001,1772873880.0,2026-03-07T08:58:00+00:00,5679.0,domestic,KR,dev-NP-D-2-N0001-A,KR,69138.43,0.0821,0,2,NP,D-2,2026-12-25,ne,NP,NP:D-2,203,17,0,normal
