tx_id,customer_id,timestamp,datetime_utc,amount,channel,counterparty_country,device_id,ip_country,balance_before,balance_drawdown_ratio,is_new_device,tx_velocity_24h,nationality,visa_type,residency_end_date,language,home_country,segment_key,days_to_residency_end,hour,label,scenario
VN-E-9-N0001-T0000,VN-E-9-N0001,1765600860.0,2025-12-13T04:41:00+00:00,7870.0,domestic,KR,dev-VN-E-9-N0001-A,KR,31973.13,0.2461,0,0,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,13,0,normal
VN-E-9-N0001-T0001,VN-E-9-N0001,1765697700.0,2025-12-14T07:35:00+00:00,29942.0,domestic,KR,dev-VN-E-9-N0001-A,KR,114057.33,0.2625,0,0,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,16,0,normal
VN-E-9-N0001-T0002,VN-E-9-N0001,1765737000.0,2025-12-14T18:30:00+00:00,11076.0,domestic,KR,dev-VN-E-9-N0001-A,KR,24811.56,0.4464,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,3,0,normal
VN-E-9-N0001-T0003,VN-E-9-N0001,1765766460.0,2025-12-15T02:41:00+00:00,20414.0,domestic,KR,dev-VN-E-9-N0001-A,KR,156568.98,0.1304,0,2,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,11,0,normal
VN-E-9-N0001-T0004,VN-E-9-N0001,1765862640.0,2025-12-16T05:24:00+00:00,23037.0,domestic,KR,dev-VN-E-9-N0001-A,KR,50063.88,0.4602,0,0,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,14,0,normal
VN-E-9-N0001-T0005,VN-E-9-N0001,1765955220.0,2025-12-17T07:07:00+00:00,18166.0,domestic,KR,dev-VN-E-9-N0001-A,KR,62287.46,0.2916,0,0,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,16,0,normal
VN-E-9-N0001-T0006,VN-E-9-N0001,1766299140.0,2025-12-21T06:39:00+00:00,13510.0,domestic,KR,dev-VN-E-9-N0001-A,KR,73716.7,0.1833,0,0,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,15,0,normal
VN-E-9-N0001-T0007,VN-E-9-N0001,1766394540.0,2025-12-22T09:09:00+00:00,13398.0,domestic,KR,dev-VN-E-9-N0001-A,KR,66926.08,0.2002,0,0,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,18,0,normal
VN-E-9-N0001-T0008,VN-E-9-N0001,1766454360.0,2025-12-23T01:46:00+00:00,14499.0,domestic,KR,dev-VN-E-9-N0001-A,KR,122597.27,0.1183,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,10,0,normal
VN-E-9-N0001-T0009,VN-E-9-N0001,1766641920.0,2025-12-25T05:52:00+00:00,17575.0,domestic,KR,dev-VN-E-9-N0001-A,KR,63501.58,0.2768,0,0,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,14,0,normal
VN-E-9-N0001-T0011,VN-E-9-N0001,1766727840.0,2025-12-26T05:44:00+00:00,15416.0,atm,KR,dev-VN-E-9-N0001-A,KR,173168.19,0.089,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,14,0,normal
VN-E-9-N0001-T0012,VN-E-9-N0001,1766873520.0,2025-12-27T22:12:00+00:00,32913.0,domestic,KR,dev-VN-E-9-N0001-A,KR,131094.64,0.2511,0,0,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,7,0,normal
VN-E-9-N0001-T0013,VN-E-9-N0001,1766933040.0,2025-12-28T14:44:00+00:00,6229.0,domestic,KR,dev-VN-E-9-N0001-A,KR,18092.52,0.3443,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,23,0,normal
VN-E-9-N0001-T0014,VN-E-9-N0001,1766996100.0,2025-12-29T08:15:00+00:00,16302.0,domestic,KR,dev-VN-E-9-N0001-A,KR,28639.28,0.5692,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,17,0,normal
VN-E-9-N0001-T0015,VN-E-9-N0001,1767029160.0,2025-12-29T17:26:00+00:00,19601.0,domestic,KR,dev-VN-E-9-N0001-A,KR,38827.38,0.5048,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,2,0,normal
VN-E-9-N0001-T0016,VN-E-9-N0001,1767238860.0,2026-01-01T03:41:00+00:00,14254.0,domestic,KR,dev-VN-E-9-N0001-A,KR,245308.86,0.0581,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,12,0,normal
VN-E-9-N0001-T0017,VN-E-9-N0001,1767338460.0,2026-01-02T07:21:00+00:00,9347.0,domestic,KR,dev-VN-E-9-N0001-A,KR,252838.22,0.037,0,0,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,16,0,normal
VN-E-9-N0001-T0018,VN-E-9-N0001,1767464760.0,2026-01-03T18:26:00+00:00,17561.0,domestic,KR,dev-VN-E-9-N0001-A,KR,47924.26,0.3664,0,0,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,3,0,normal
VN-E-9-N0001-T0021,VN-E-9-N0001,1767844620.0,2026-01-08T03:57:00+00:00,12541.0,domestic,KR,dev-VN-E-9-N0001-A,KR,52523.98,0.2388,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,12,0,normal
VN-E-9-N0001-T0022,VN-E-9-N0001,1768028100.0,2026-01-10T06:55:00+00:00,12849.0,atm,KR,dev-VN-E-9-N0001-A,KR,49727.12,0.2584,0,3,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,15,0,normal
VN-E-9-N0001-T0023,VN-E-9-N0001,1768018380.0,2026-01-10T04:13:00+00:00,41567.0,domestic,KR,dev-VN-E-9-N0001-A,KR,326431.32,0.1273,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,13,0,normal
VN-E-9-N0001-T0024,VN-E-9-N0001,1768005900.0,2026-01-10T00:45:00+00:00,12965.0,domestic,KR,dev-VN-E-9-N0001-A,KR,63798.67,0.2032,0,0,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,9,0,normal
VN-E-9-N0001-T0026,VN-E-9-N0001,1768112220.0,2026-01-11T06:17:00+00:00,12342.0,domestic,KR,dev-VN-E-9-N0001-A,KR,80370.3,0.1536,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,15,0,normal
VN-E-9-N0001-T0027,VN-E-9-N0001,1768124340.0,2026-01-11T09:39:00+00:00,18406.0,atm,KR,dev-VN-E-9-N0001-A,KR,75259.61,0.2446,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,18,0,normal
VN-E-9-N0001-T0028,VN-E-9-N0001,1768189680.0,2026-01-12T03:48:00+00:00,13753.0,domestic,KR,dev-VN-E-9-N0001-A,KR,234834.86,0.0586,0,2,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,12,0,normal
VN-E-9-N0001-T0030,VN-E-9-N0001,1768366020.0,2026-01-14T04:47:00+00:00,6126.0,domestic,KR,dev-VN-E-9-N0001-A,KR,53982.8,0.1135,0,1,VN,E-9,2027-02-27,vi,VN,VN:E-9,267,13,0,normal
